"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"Device","FAIRD2-FAIRD1",0,-4.48692810457514,-37.4513735973632,28.4775173882129,0.999632377241142
"Device","FAIRD3-FAIRD1",0,-1.72222222222221,-33.030477724043,29.5860332795986,0.999998242457088
"Device","FAIRD4-FAIRD1",0,3.80158730158736,-27.5066682002334,35.1098428034081,0.999810494217742
"Device","ID1-FAIRD1",0,5.8040935672515,-26.2556670151819,37.8638541496849,0.998129541878389
"Device","ID2-FAIRD1",0,35.9093567251463,3.84959614271291,67.9691173075797,0.0175834904951816
"Device","ID4-FAIRD1",0,15.2777777777778,-16.3896664028666,46.9452219584222,0.776061605320773
"Device","FAIRD3-FAIRD2",0,2.76470588235293,-29.0355164243732,34.5649281890791,0.999973344106126
"Device","FAIRD4-FAIRD2",0,8.2885154061625,-23.5117069005637,40.0887377128887,0.986426230616201
"Device","ID1-FAIRD2",0,10.2910216718266,-22.2493459473762,42.8313892910295,0.963898403406215
"Device","ID2-FAIRD2",0,40.3962848297214,7.85591721051861,72.9366524489242,0.00540208441623657
"Device","ID4-FAIRD2",0,19.7647058823529,-12.3892098531239,51.9186216178297,0.522842947166599
"Device","FAIRD4-FAIRD3",0,5.52380952380957,-24.5561893903776,35.6038084379967,0.997973980550542
"Device","ID1-FAIRD3",0,7.52631578947371,-23.3351119272272,38.3877435061747,0.99043694958484
"Device","ID2-FAIRD3",0,37.6315789473685,6.77015123066755,68.4930066640694,0.0067521433212957
"Device","ID4-FAIRD3",0,17,-13.4536778245984,47.4536778245984,0.635616137024158
"Device","ID1-FAIRD4",0,2.00250626566414,-28.8589214510368,32.8639339823651,0.999995299189866
"Device","ID2-FAIRD4",0,32.1077694235589,1.24634170685798,62.9691971402599,0.0356967558023302
"Device","ID4-FAIRD4",0,11.4761904761905,-18.9774873484079,41.9298683007889,0.918055313026303
"Device","ID2-ID1",0,30.1052631578948,-1.51828988013077,61.7288161959203,0.0731422013295971
"Device","ID4-ID1",0,9.47368421052631,-21.7520724509238,40.6994408719764,0.970567875208665
"Device","ID4-ID2",0,-20.6315789473685,-51.8573356088186,10.5941777140816,0.432814075964548
